prod-id,cat-id,sub-cat-id,name-eng,model,model-sub-title,model-title,product-specification,technical-specification,features,home,video,pdf,brochure-pdf,user-manual-pdf,is-show-24-month-icon,is-show-12-month-icon,is-show-nsic-icon,is-show-fmtti-icon,is-show-german-icon,banner-image,specification-dark-img,specification-light-img,ft,hc,ordering,meta-title,meta-desc,fast-movinng-pdf,workshop-pdf,specification-left-img
1,1,13,BRUSH CUTTER,BON-P-BC36,Brush Cutter,Displacement 36 CC,"[[""Equipment mobility"",""Hand-held""],[""Engine type"",""2-stroke""],[""Maximum power"",""1.2 kW\/7500min-1""],[""Fuel ratio"",""50:1""],[""Volumes of fuel tank"",""720cm3""],[""Engine displacement"",""35.3cm3""],[""Max engine speed for grass trimmer"",""9200 min-1""],[""Gear ratio"",""19:14""],[""Engine idling speed"",""3000min-1\u00b1300 min-1""],[""Clutch engagement speed"",""4200min-1""],[""Unit mass (empty tanks without cutting attachment)"",""7.2kg""]]","&lt;ul&gt;
	&lt;li&gt;BRUSH CUTTER is a powered garden or agriculture tool used to trim weeds, small trees, and other foliage.&lt;/li&gt;
	&lt;li&gt;Brush cutter is a tool that is used to harvest crops, trim grass, as well as clear/remove unwanted crop. Catering to the needs and demands of farmers.&lt;/li&gt;
	&lt;li&gt;It is used to cut weeds, trim crops, small trees , grass parthenium etc.&lt;/li&gt;
	&lt;li&gt;Various blades or trimmer heads can be attached to the machine for specific applications.&lt;/li&gt;
	&lt;li&gt;It is typically used to cut tall grass (grass taller than 6&amp;rdquo; &amp;ndash; 8&amp;rdquo;), weeds, brush, shrubs and woody material such as stalks and saplings.&lt;/li&gt;
	&lt;li&gt;This machine is Start with Recoil .&lt;/li&gt;
	&lt;li&gt;Petrol engines, either two stroke, are used on the more powerful units.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Why brush cutter is an essential tool for cutting grass?&lt;/h2&gt;

&lt;p&gt;A brush cutter is a heavy-duty tool designed to clear tough vegetation that standard mowers struggle with. Perfect for cutting through dense grass, resilient weeds, and small saplings, this powerful machine easily handles overgrown areas. Its versatility and precision make it ideal for maintaining spaces that are difficult to access, providing effective control over unruly landscapes. You can get one of the best brush cutters from Bonhoeffer.&lt;/p&gt;

&lt;h3&gt;Tool designed for versatility and precision&lt;/h3&gt;

&lt;p&gt;BON-P-BC36 is a hand-held brush cutter, equipped with a high-performance 2-stroke engine, delivering 1.2 kW of power at 7,500 rpm. It has a fuel ratio of 50:1 and a 720 cm&amp;sup3; fuel tank, ensuring extended use between refills. With an engine displacement of 35.3 cm&amp;sup3; and a maximum speed of 9,200 rpm. The idle speed of 3,000 rpm provides smooth operation, while the clutch engages at 4,200 rpm for better control. Weighing just 7.2 kg (without attachments), this machine offers the perfect balance of power and mobility, making it an essential tool for professional trimming tasks.&lt;/p&gt;
",0,https://www.youtube.com/embed/2eT--7jQIFA,BON-P-BC36.pdf,BON-P-BC36.pdf,BON-P-BC36-ENGLISH-MANUAL.pdf,No,Yes,No,Yes,Yes,product-banner-1647453298-89d4daed1b06476eb910.jpg,specification-dark-1724761899-7ddd1769a97975f5ad37.webp,specification-light-1727179463-c72a35323b97517a555d.webp,,,1,BON-P-BC36 Brush cutter: Tool for clearing tough vegetation,A brush cutter is a heavy-duty tool designed to clear tough vegetation that standard mowers struggle with.,BON-P-BC36.pdf,,specification-left-1727179453-951a0534a64f19831f63.webp
6,1,16,CHAINSAW,BON-P-CS92,CHAINSAW,Displacement 92 CC,"[[""Motor "",""7,1HP""],[""Guide bar"",""36""],[""Saw chain"",""3\/8""],[""Fuel tank capacity"",""825 ml""],[""Engine oil tank capacity"",""360 ml""],[""Maximum revolution"",""12500 per minute""],[""Fuel mixture ratio"",""50:1""],[""Lubrication"",""Adjustable automatic chain lubrication""],[""Instruction manual"",""1 piece""],[""Tool kit"",""1 set""],[""Fuel mixture bottle"",""1 piece x 2 liters""]]","&lt;ul&gt;
	&lt;li&gt;&lt;strong&gt;Durable Construction&lt;/strong&gt;: Rugged components and materials withstand demanding cutting environments, from forestry to landscaping tasks&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Chain Brake Safety Feature&lt;/strong&gt;: Provides an immediate stop to the chain during kickback, enhancing user safety&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Adjustable Carburetor&lt;/strong&gt;: Allows users to fine-tune the engine for optimal performance in different conditions, such as varying altitudes or temperatures&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Lightweight and Compact Design&lt;/strong&gt;: Easier to handle and maneuver, especially for extended use or in tight spaces&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Easy-Start System&lt;/strong&gt;: Features like a spring-assisted starter or decompression valve make starting the engine more effortless.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Chainsaw: Enhance Your Tree Cutting and Woodwork Efficiency&lt;/h2&gt;

&lt;p&gt;A chainsaw is a must-have tool for woodcutting tasks, offering speed and versatility. Whether you&amp;rsquo;re a logger, landscaper, or just maintaining your property, &lt;strong&gt;&lt;a href=&quot;https://bonhoeffermachines.com/en/category/chainsaw&quot; target=&quot;-blank&quot;&gt;chainsaws&lt;/a&gt;&lt;/strong&gt; make tree cutting, trimming, and firewood gathering far more efficient. From gas-powered to electric and battery-operated options, there&amp;rsquo;s a chainsaw for every need. Bonhoeffer&amp;rsquo;s range of durable gas-powered chainsaws is designed to deliver top-notch performance and reliability for demanding woodcutting tasks.&lt;/p&gt;

&lt;h3&gt;Why Bonhoeffer Chainsaws is Perfect for Heavy-Duty Cutting Tasks?&lt;/h3&gt;

&lt;p&gt;The Bonhoeffer BON-P-CS92 chainsaw stands out for its impressive power and durability, making it an ideal choice for heavy-duty tree cutting tasks. With a robust 7.1 HP motor, it delivers unparalleled performance, allowing for quick and precise cutting even through the toughest wood. Its 36-inch guide bar and 3/8 saw chain provide excellent reach and cutting power, making it perfect for felling large trees. The 825 ml fuel tank and 360 ml engine oil tank ensure long-lasting operation without frequent refuelling&lt;/p&gt;
",1,,BON-P-CS92.pdf,BON-P-CS92.pdf,BON-P-CS92.pdf,No,Yes,Yes,No,Yes,product-banner-1647453465-87e083155e65317eebad.jpg,specification-dark-1724330168-7ceecc52bb170d56a3ec.webp,specification-light-1737360574-7a35b96ba784e8bfd49a.webp,1232,3025,92,BON-P-CS92 Bonhoeffer Chainsaw,"Bonhoeffer’s chainsaws stand out for their impressive power. These chainsaws make tree cutting, trimming, and firewood gathering far more efficient.",BON-P-CS92.pdf,,specification-left-1737117034-f5c80df013d67f825923.webp
7,1,16,CHAINSAW,BON-P-CS40,CHAINSAW,Displacement 40 CC,"[[""Engine"",""Single Cylinder, Air -Cooled, 2-Stroke, PETROL, 40 cc""],[""Output Power"",""2.1 HP""],[""Chain Oil"",""SAE 10W30""],[""Carburettor"",""Diaphragm Type""],[""Rotor Direction"",""Counter Clockwise""],[""Method of Starting"",""Recoil Starter""],[""Chain (Pitch x Gauge)"",""3\/8""],[""Bar Length"",""16""],[""Weight"",""5 Kg""],[""Max Speed"",""12100 Rpm""],[""Fuel mixture ratio"",""50:1""]]","&lt;ul&gt;
	&lt;li&gt;&lt;strong&gt;Durable Construction&lt;/strong&gt;: Rugged components and materials withstand demanding cutting environments, from forestry to landscaping tasks&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Chain Brake Safety Feature&lt;/strong&gt;: Provides an immediate stop to the chain during kickback, enhancing user safety&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Adjustable Carburetor&lt;/strong&gt;: Allows users to fine-tune the engine for optimal performance in different conditions, such as varying altitudes or temperatures&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Lightweight and Compact Design&lt;/strong&gt;: Easier to handle and maneuver, especially for extended use or in tight spaces&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Easy-Start System&lt;/strong&gt;: Features like a spring-assisted starter or decompression valve make starting the engine more effortless.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Chainsaw: A Powerful Tool for Efficient Tree Cutting and Woodwork&lt;/h2&gt;

&lt;p&gt;A chainsaw is a powerful, versatile tool designed for cutting through wood with speed and precision. Whether you&amp;#39;re a professional logger, a landscaper, or a homeowner tackling yard work, chainsaws make tasks like tree felling, branch trimming, and cutting firewood far more efficient than traditional methods. Available in gas-powered, electric, and battery-operated models, chainsaws come in a variety of sizes and power levels to suit different needs. Bonhoeffer provides one of the most efficient and durable gas powered chainsaws.&lt;/p&gt;

&lt;h3&gt;Powerful and Lightweight Chainsaw for Tough Jobs&lt;/h3&gt;

&lt;p&gt;The BON-P-CS40 chainsaw is powered by a robust 40cc, single-cylinder, air-cooled 2-stroke petrol engine that delivers an impressive 2.1 HP. Designed for heavy-duty tasks, it features a 16-inch bar and a chain with a 3/8-inch pitch, making it ideal for cutting through tough wood. The chainsaw is equipped with a diaphragm-type carburettor for reliable fuel delivery, and it operates at a maximum speed of 12,100 RPM. Weighing just 5 kg, this lightweight yet powerful tool is easy to handle, with a recoil starter ensuring quick and efficient ignition.&lt;/p&gt;
",2,https://www.youtube.com/embed/liWqkRWv1NA,BON-P-CS40.pdf,BON-P-CS40.pdf,BON-P-CS40-ENGLISH-MANUAL.pdf,No,Yes,No,No,No,,specification-dark-1724330022-31159d8f72727010f621.webp,specification-light-1727179976-399cb90b809fb7b63295.webp,,,40,BON-P-CS40 Chainsaw by Bonhoeffer,Chainsaw: A Powerful Tool for Efficient Tree Cutting and Woodwork,BON-P-CS40.pdf,,specification-left-1727179965-a64292bd5ac0eb33ae4f.webp
8,1,16,CHAINSAW,BON-P-CS55,CHAINSAW,Displacement 55 CC,"[[""Engine"",""Single Cylinder, Air -Cooled,2-Stroke, PETROL, 54.6 cc""],[""Output Power"",""3.4 Hp""],[""Chain Oil"",""SAE 10W30""],[""Carburettor"",""Diaphragm Type""],[""Rotor Direction"",""Counter Clockwise""],[""Method of Starting"",""Recoil Starter""],[""Chain (Pitch x Gauge)"",""3\/8""],[""Bar Length"",""20""],[""Weight"",""6 Kg""],[""Max Speed"",""12500""],[""Fuel mixture ratio"",""50:1""],[""Displacement"",""55cc""]]","&lt;ul&gt;
	&lt;li&gt;&lt;strong&gt;Durable Construction&lt;/strong&gt;: Rugged components and materials withstand demanding cutting environments, from forestry to landscaping tasks&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Chain Brake Safety Feature&lt;/strong&gt;: Provides an immediate stop to the chain during kickback, enhancing user safety&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Adjustable Carburetor&lt;/strong&gt;: Allows users to fine-tune the engine for optimal performance in different conditions, such as varying altitudes or temperatures&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Lightweight and Compact Design&lt;/strong&gt;: Easier to handle and maneuver, especially for extended use or in tight spaces&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Easy-Start System&lt;/strong&gt;: Features like a spring-assisted starter or decompression valve make starting the engine more effortless.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Chainsaw: The Ultimate Solution for Quick and Precise Wood Cutting&lt;/h2&gt;

&lt;p&gt;A chainsaw is an essential tool for anyone who needs to cut wood efficiently and accurately. Whether you&amp;#39;re handling large-scale logging operations, maintaining a landscape, or managing yard work at home, a chainsaw makes jobs like tree removal, branch trimming, and firewood preparation much faster and easier. With various models available&amp;mdash;gas powered, electric, and battery-operated&amp;mdash;chainsaws cater to different tasks and preferences. Bonhoeffer&amp;#39;s high-performance gas powered chainsaws stand out for their durability and unmatched cutting power.&lt;/p&gt;

&lt;h3&gt;Power-Packed Precision for Every Cut&lt;/h3&gt;

&lt;p&gt;The BON-P-CS55 Chainsaw is designed for tough jobs, offering superior performance with its 54.6 cc, single-cylinder, air-cooled, 2-stroke petrol engine. Delivering a robust 3.4 horsepower, this chainsaw effortlessly powers through demanding tasks. Equipped with a 20-inch bar length and a 3/8 chain pitch, it provides optimal cutting precision. Weighing just 6 kg, it&amp;rsquo;s lightweight yet built for durability. The recoil starter ensures quick and easy ignition, while the counter-clockwise rotor direction enhances cutting efficiency. With a max speed of 12,500 RPM and a 50:1 fuel mixture ratio, the BON-P-CS55 is engineered for both power and reliability.&lt;/p&gt;
",1,https://www.youtube.com/embed/S3fhIWEdH14,BON-P-CS55.pdf,BON-P-CS55.pdf-add,,No,Yes,No,No,No,,specification-dark-1743157980-819df75f0aa1d26a80b5.webp,specification-light-1743165493-873678757b0b2cf32e45.webp--,,,55,BON-P-CS55 Bonhoeffer Chainsaw,"Power through any task with Bonhoeffer Chainsaws—durable, efficient, and built for heavy-duty performance. Perfect for professionals and DIY enthusiasts alike",BON-P-CS55.pdf,,specification-left-1743165478-6aade362de0e84f3ae33.webp--
9,1,16,CHAINSAW,BON-P-CS65,CHAINSAW,Displacement 65 CC,"[[""Engine "",""Single Cylinder, Air -Cooled,2-Stroke, PETROL, 65 cc""],[""Output Power"",""4.6 HP""],[""Chain Oil"",""SAE 10W30""],[""Carburettor"",""Diaphragm Type""],[""Rotor Direction"",""Counter Clockwise""],[""Method of Starting"",""Recoil Starter""],[""Chain (Pitch x Gauge)"",""3\/8""],[""Bar Length"",""24""],[""Weight"",""7 Kg""],[""Max Speed"",""13000""],[""Fuel mixture ratio"",""50:1""]]","&lt;ul&gt;
	&lt;li&gt;&lt;strong&gt;Durable Construction&lt;/strong&gt;: Rugged components and materials withstand demanding cutting environments, from forestry to landscaping tasks&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Chain Brake Safety Feature&lt;/strong&gt;: Provides an immediate stop to the chain during kickback, enhancing user safety&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Adjustable Carburetor&lt;/strong&gt;: Allows users to fine-tune the engine for optimal performance in different conditions, such as varying altitudes or temperatures&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Lightweight and Compact Design&lt;/strong&gt;: Easier to handle and maneuver, especially for extended use or in tight spaces&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Easy-Start System&lt;/strong&gt;: Features like a spring-assisted starter or decompression valve make starting the engine more effortless.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Chainsaw: Your Go-To Tool for Fast and Accurate Woodwork&lt;/h2&gt;

&lt;p&gt;A chainsaw is a reliable and efficient tool for cutting wood with precision and ease. It&amp;rsquo;s an indispensable machine for tasks like tree felling, trimming branches, or cutting firewood, whether you&amp;#39;re a professional or a homeowner. Chainsaws come in gas, electric, and battery-powered models to fit your specific needs. Bonhoeffer offers some of the best gas-powered chainsaws on the market, known for their superior cutting ability and long-lasting performance.&lt;/p&gt;

&lt;h3&gt;Unmatched Power and Durability for Heavy-Duty Tasks&lt;/h3&gt;

&lt;p&gt;The BON-P-CS65 Chainsaw is built to handle the toughest cutting jobs with ease. Featuring a powerful 65 cc, single-cylinder, air-cooled, 2-stroke petrol engine, it delivers an impressive 4.6 horsepower. Its 24-inch bar length, combined with a 3/8 chain pitch, ensures precision even in the most demanding environments. With a max speed of 13,000 RPM and a lightweight design of 7 kg, it strikes the perfect balance between power and manoeuvrability.&lt;/p&gt;
",2,https://www.youtube.com/embed/S3fhIWEdH14,BON-P-CS65.pdf,BON-P-CS65.pdf,BON-P-CS65-ENGLISH-MANUAL.pdf,No,Yes,No,No,No,,specification-dark-1724330116-9e8d988e70b6b4d762f9.webp,specification-light-1727246077-d71f6e323ed8b528d917.webp,,,65,BON-P-CS65 Bonhoeffer Chainsaw: Powerful and Precise,"Bonhoeffer Chainsaws deliver precision and power for tough cutting jobs. Trusted for durability and efficiency, they're the perfect choice for any outdoor project.",BON-P-CS65.pdf,,specification-left-1727246067-261acf38915f7ae47fb2.webp
10,1,17,HEDGE TRIMMER,BON-P-HT23,HEDGE TRIMMER,Displacement 23 CC,"[[""Capacity"",""22.5 cm3""],[""Power"",""1.2 Hp""],[""Fuel mixture ratio"",""50:1""],[""Tank capacity"",""450 ml""],[""Trimming length"",""600 mm""],[""Weight"",""6 kg""],[""Measurement uncertainty"",""3 dB(A)""],[""Measured sound power level"",""95 dB(A)""],[""Measurement uncertainty"",""1.5 m\/s2""]]","&lt;ul&gt;
	&lt;li&gt;&lt;strong&gt;Quiet Engine&lt;/strong&gt; Experience tranquillity while you work with the remarkably low-noise engine, ensuring both you and your neighbours are undisturbed.&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Effortless Starting&lt;/strong&gt; Our Smart Start technology ensures a quick and easy startup, reducing starter cord resistance by up to 40%.&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Hassle-Free Stop&lt;/strong&gt; The auto return stop switch seamlessly resets to the ON position, ensuring trouble-free starting every time.&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Fuel Pump for Easy Starts&lt;/strong&gt; Designed for convenience, our fuel pump makes starting your machine a breeze.&lt;/li&gt;
	&lt;li&gt;&lt;strong&gt;Effective anti-vibration &lt;/strong&gt; dampeners absorb vibrations, providing a more comfortable experience for your arms and hands.&lt;/li&gt;
&lt;/ul&gt;
",,0,,BON-P-HT23.pdf,BON-P-HT23.pdf-old,English-Manual-BON-P-HT23.pdf--,No,Yes,No,No,Yes,product-banner-1647454701-4ab283292010f47a21ad.jpg,specification-dark-1726058013-eec9b735cbaeaad51233.webp-add,specification-light-1727249113-626ee0a2fe9d7887c104.webp-add,,,1,,,BON-P-HT23.pdf,,specification-left-1727249103-2e7830df32b9c5184f0c.webp-add
12,1,18,BLOWER,BON-P-BL26,BLOWER,DESPLAZAMIENTO 26 CC,"[[""Engine"",""1.2 HP""],[""Product Description"",""Blower""],[""Engine type"",""2-stroke, single-cylinder, air-cooled""],[""Maximum power"",""900w @ 8200rpm""],[""Maximum air speed"",""250 km \/ h""],[""Suction capacity"",""NA""],[""Guaranteed sound power LwA"",""110 dB (A)""],[""Fuel tank"",""400 ml""],[""Mulch ratio"",""N.A""],[""Dust bag capacity"",""N.A""],[""Features"",""blower only, can fit round nozzle or flat nozzle""]]",,,2,https://www.youtube.com/embed/MWQnUJ7aSTU,BON-P-BL26.pdf,NULL,NULL,No,Yes,No,No,Yes,,,,,,2,,,,,
14,1,20,EARTH AUGER,BON-P-EA63,EARTH AUGER,Displacement 63 CC,"[[""Maximum power Output"",""3.0 HP""],[""Maximum output speed"",""9600 \u00b1 300 rpm""],[""Maximum drill bit rotation speed"",""360 RPM""],[""Fuel tank capacity"",""1000 ml""],[""Transmission ratio"",""26.4:1""],[""Sprocket structure"",""Helical (rounded corner)""],[""Drill Bit Size"",""\u03c6 50mm - 300mm""],[""Top Tip Type"",""Twist Type Top""],[""Displacement"",""68 CC""],[""Weight"",""9.5 Kg""]]","&lt;ul&gt;
	&lt;li&gt;Earth Augers are very powerful machines with a lot of torque that can throw you like a sack of potatoes if the auger bit encounters a rock or a root.&lt;/li&gt;
	&lt;li&gt;Earth Auger(BON-P-EA68)is an effective 2 stroke Engine type.&lt;/li&gt;
	&lt;li&gt;This machine used for making holes in the ground and soil. built with a rotating metal pipe or rod with one or more blades attached at the lower end.&lt;/li&gt;
	&lt;li&gt;This machine powered by 63cc motor.&lt;/li&gt;
	&lt;li&gt;This machine consumes only 1300 ml of fuel an 1 hour which makes it fuel efficient&lt;/li&gt;
	&lt;li&gt;This Earth Auger comes with Air-cooled single cylinder makes the operation smooth and yield good results.&lt;/li&gt;
&lt;/ul&gt;
","&lt;h2&gt;Drill Through the Toughest Grounds with Earth Auger&lt;/h2&gt;

&lt;p&gt;Digging holes in hard surfaces is often labour-intensive and time-consuming. The Earth Auger is specifically designed to efficiently drill through both soft and rocky terrains. This robust device features a powerful engine and circular blades that generate sufficient torque to penetrate even the toughest surfaces. Ideal for forestry, construction, plantation, and farming tasks, the Earth Auger is an invaluable tool for professionals. Bonhoeffer offers one of the most reliable earth augers on the market, engineered for exceptional durability and performance.&lt;/p&gt;

&lt;h3&gt;Earth Auger is engineered for toughest tasks&lt;/h3&gt;

&lt;p&gt;The BON-P-EA63 Earth Auger is equipped with a powerful 3HP engine that delivers an impressive 9,600 RPM, driven by a robust 63cc motor. This machine is designed for efficiency, featuring a 2-stroke engine that provides the power needed for demanding tasks. With a 1,000 ml fuel tank, you can complete your work in less time without frequent refuelling. The device supports drill bit sizes ranging from 50 mm to 300 mm, offering versatility for various applications. To ensure smooth operation, Bonhoeffer integrates an air-cooled single-cylinder system, enhancing the machine&amp;#39;s performance and durability.&lt;/p&gt;
",2,https://www.youtube.com/embed/Ca2Qdif58Tg,,,BON-P-EA63.pdf,No,Yes,No,No,Yes,product-banner-1647454112-3bc250d531c97dafa06f.jpg,specification-dark-1726059116-5d0b5c6d9b4dbc6e80db.webp,,,,1,,,,,
15,1,19,WATER PUMP 2 STROKE,BON-WP1.0-52-2S,WATER PUMP 2 STROKE,INLET / OUTLET- 1 INCHES - 52 CC,"[[""Engine"",""2.5 HP""],[""Engine type"",""2-stroke gasoline, air-cooled, single cylinder""],[""Flow"",""10 m3\/hour""],[""Suction and discharge"",""1 INCH \/ 25.4 MM""],[""Pump lift"",""26 meters""],[""Suction height"",""6 meters""],[""Fuel tank capacity"",""1 liter""],[""Starting System"",""Manual""]]",,,0,,BON-WP1.0-52-2S.pdf,,,No,Yes,No,No,Yes,,,,675,1675,1,,,,,
16,1,21,ENGINE 2 STROKES,BON-E-2S-23,ENGINE 2 STROKES,Displacement 23 CC,"[[""Engine"",""1 HP""],[""Application"",""Suitable for hedge trimmers""],[""Engine Type"",""Single Cylinder, Air Cooled, 2 Stroke, Gasoline Engine""],[""Diameter x Strok"",""33 x 28 mm""],[""Maximum Speed"",""10000 \u00b1 500 rpm""],[""Maximum Torque"",""1.1-1.2nm""],[""Fuel Tank Capacity"",""550Ml""],[""Air Filter"","" Dry""],[""Spark plug"",""BM6A""],[""Boot"",""Recoil Start with Easy Start Feature""]]",,,0,,ENGINE 2 STROKE HIGH ROTATION PARTS.pdf,,,No,Yes,No,No,Yes,product-banner-1647454380-5d57957c6ec5024b0b40.jpg,,,,,1,,,,,
