id,pcat_id,code,field1,field2,field3,field4,field5,field6
1,4,piston-kit,Model ,Diameter,Pin (mm),1st Ring (mm),2nd Ring (mm),3rd Ring (mm)
2,4,BON-PSTKIT-001,Compatible with STIHL MS660,54,12,1.2,1.2,
3,4,BON-PSTKIT-002,Compatible with HUSQ 288,54,13,1.5,,
4,4,BON-PSTKIT-003,Compatible with HUSQ 143R-II,40,10,1.5,1.5,
5,4,BON-PSTKIT-004,Compatible with STIHL FS280,40,10,1.5,1.5,
6,4,BON-PSTKIT-005,Compatible with STIHL MS380,52,12,1.5,1.5,
7,4,BON-PSTKIT-006,Compatible with 1E40F-5 (Brushcutter China 43 CC),40,10,1.5,1.5,
8,4,BON-PSTKIT-007,Compatible with 1E44F-2A (Brushcutter China 52 CC),44,10,2,2,
9,4,BON-PSTKIT-008,Compatible with 5800 (Chainsaw China 58 CC),45.2,11,1.2,1.2,
10,4,BON-PSTKIT-009,Compatible with SHINDIAWA B45,40,11,1.5,1.5,
11,4,BON-PSTKIT-010,Compatible with Honda GX120,60,13,1.5,1.5,2.5
12,4,BON-PSTKIT-011,Compatible with Honda GX140,64,18,1.5,1.5,2.5
13,4,BON-PSTKIT-012,Compatible with Honda GX160,68,18,1.5,1.5,2.5
14,4,BON-PSTKIT-013,Compatible with Honda GX200,68,18,1.5,1.5,2.5
15,4,BON-PSTKIT-014,Compatible with Honda GX210,70,18,1.5,1.5,2.5
16,4,BON-PSTKIT-015,Compatible with Honda GX220,70,18,1.5,1.5,2.5
17,4,BON-PSTKIT-016,Compatible with Honda GX240,73,18,2,2,2.8
18,4,BON-PSTKIT-017,Compatible with Honda GX270,77,18,2,2,2.8
19,4,BON-PSTKIT-018,Compatible with Honda GX340,82,20,2,2,2.8
20,4,BON-PSTKIT-019,Compatible with Honda GX390,88,20,2,2,2.8
21,4,BON-PSTKIT-020,Compatible with Honda GX100,52,10,1.5,1.5,2.5
22,4,BON-PSTKIT-021,Compatible with Honda GX400,90,20,2,2,2.8
23,4,BON-PSTKIT-022,Compatible with Honda GX420,90,20,2,2,2.8
24,4,BON-PSTKIT-023,"Compatible with TU26 (Sprayer China, Brushcutter China)",33,8,1.5,1.5,
25,4,BON-PSTKIT-024,Compatible with HUSQ 232R,35,10,1.5,,
26,4,BON-PSTKIT-025,Compatible with HUSQ 235,37,10,1.5,,
27,4,BON-PSTKIT-026,Compatible with HUSQ 141,40,10,1.5,,
28,4,BON-PSTKIT-027,"Compatible with HUSQ 40, 240R",40,10,1.5,,
29,4,BON-PSTKIT-028,Compatible with HUSQ 340,40,10,1.5,,
30,4,BON-PSTKIT-029,Compatible with HUSQ 2137 2550,41,10,1.5,,
31,4,BON-PSTKIT-030,Compatible with HUSQ H445 2245,42,10,1.5,,
32,4,BON-PSTKIT-031,"Compatible with HUSQ 343R,345 2145",42,10,1.5,,
33,4,BON-PSTKIT-032,Compatible with  HUSQ 350P,44,10,1.5,,
34,4,BON-PSTKIT-033,Compatible with  HUSQ 353,45,10,1.5,,
35,4,BON-PSTKIT-034,Compatible with  HUSQ 55,46,10,1.5,,
36,4,BON-PSTKIT-035,Compatible with  HUSQ 359,47,12,1.5,,
37,4,BON-PSTKIT-036,Compatible with  HUSQ 365,48,12,1.5,,
38,4,BON-PSTKIT-037,Compatible with  HUSQ 268 (NEW),50,12,1.5,,
39,4,BON-PSTKIT-038,Compatible with  HUSQ 272P,52,12,1.5,,
40,4,BON-PSTKIT-039,Compatible with  HUSQ 385,54,13,1.2,1.2,
41,4,BON-PSTKIT-040,Compatible with  HUSQVARNA 461,49,12,1.5,,
42,4,BON-PSTKIT-041,Compatible with  STIHL MS170,37,8,1.2,1.2,
43,4,BON-PSTKIT-042,Compatible with  STIHL MS180,38,10,1.2,1.2,
44,4,BON-PSTKIT-043,Compatible with  STIHL MS230,40,10,1.2,1.2,
45,4,BON-PSTKIT-044,Compatible with  STIHL MSO25,42,10,1.2,1.2,
46,4,BON-PSTKIT-045,Compatible with  STIHL MS250,42.5,10,1.2,1.2,
47,4,BON-PSTKIT-046,"Compatible with  STIHL FR480, FS480",44,10,1.2,1.2,
48,4,BON-PSTKIT-047,Compatible with  STIHL MS034-340,46,10,1.2,1.2,
49,4,BON-PSTKIT-048,"Compatible with  STIHL MS290, SR400",46,10,1.5,1.5,
50,4,BON-PSTKIT-049,Compatible with  STIHL MS361,47,11,1.5,1.5,
51,4,BON-PSTKIT-050,Compatible with  STIHL MS360 (48MM),48,10,1.2,1.2,
52,4,BON-PSTKIT-051,Compatible with  STIHL MS390,49,10,1.5,1.5,
53,4,BON-PSTKIT-052,Compatible with  STIHL MS460,52,12,1.2,1.2,
54,4,BON-PSTKIT-053,Compatible with  STIHL 051,52,13,1.5,1.5,
55,4,BON-PSTKIT-054,Compatible with  STIHL 070,58,15,1.5,1.5,
56,4,BON-PSTKIT-057,Compatible with  GX35,39,8,1,1,2
57,4,BON-PSTKIT-058,Compatible with  OLEOMAC 753,45,12,1.5,1.5,
58,4,BON-PSTKIT-063,Compatible with  VTPH145/ HUS 61,48,48,12,1.5,
59,4,BON-PSTKIT-066,Compatible with  OLEOMAC 947,42,10,1.5,1.5,
60,4,BON-PSTKIT-067,"Compatible with  5200 (Chainsaw
China 52 CC)",45,11,1.2,1.2,
61,4,BON-PSTKIT-071,"Compatible with  VP703/OLEO-MAC 937, GS370,936",38,10,1.5,1.5,
62,4,BON-PSTKIT-072,"Compatible with  VP704/OLEO-MAC GS35, GS35C",38,10,1.5,,
63,4,BON-PSTKIT-073,Compatible with  VP706/OLEO MAC GS440,40,10,1.5,1.5,
64,4,BON-PSTKIT-074,"Compatible with  VP708/OLEO-MA AM180, MB80",42,12,1.5,1.5,
65,4,BON-PSTKIT-075,"Compatible with  VP709/VP710/OLEO MAC GS650 962, 965HD",48,12,1.5,1.5,
66,4,BON-PSTKIT-076,"Compatible with  VP705/OLEO- MAC941C, 941CX,GX410C,GX",40,10,1.2,1.2,
67,4,BON-PSTKIT-077,"Compatible with  VP707/OLEO- MAC SPARTA 25, SPARTA",34,8,1.5,,
68,4,BON-PSTKIT-078,"FITS VP711/OLEO MAC 980, 981, GS820, TL85,9",52,12,1.2,1.2,
69,4,BON-PSTKIT-087,Compatible with  FS220,38,10,1.5,1.5,
70,4,BON-PSTKIT-090,Compatible with  FS120,35,10,1.2,1.2,
71,4,BON-PSTKIT-091,Compatible with  Honda GX1000,54,10,1.5,1.5,2.5
72,4,BON-PSTKIT-092,Compatible with  Honda GX154,54,14,1.5,1.5,2.5
73,4,BON-PSTKIT-093,Compatible with  Honda GX156,56,14,1.5,1.5,2.5
74,4,BON-PSTKIT-094,Compatible with  Honda GX110,57,13,1.5,1.5,2.5
75,48,piston-rings,Model,Diameter,1st Ring (mm),2nd Ring (mm),3rd Ring (mm),
76,48,BON-PSTRING-001,Compatible with  STIHLMS660,54,1.2,1.2,,
77,48,BON-PSTRING-002,Compatible with  HUSQ 288,54,1.5,,,
78,48,BON-PSTRING-003,Compatible with  HUSQ 143R-II,40,1.2,,,
79,48,BON-PSTRING-004,Compatible with  STIHL MS380,52,1.5,1.5,,
80,48,BON-PSTRING-005,Compatible with  1E40F-5 (Chinese Brushcutter 43 CC),40,1.5,1.5,,
81,48,BON-PSTRING-006,Compatible with  1E44F-2A (Chinese Brushcutter 52 CC),44,2,2,,
82,48,BON-PSTRING-007,"Compatible with  5800 (Chinese
Chainsaw 58 CC)",45.2,1.2,1.2,,
83,48,BON-PSTRING-008,Compatible with  STIHL FS280,40,1.2,1.2,,
84,48,BON-PSTRING-009,Compatible with  SHINDIAWA B45,40,1.5,1.5,,
85,48,BON-PSTRING-010,Compatible with  Honda GX120,60,1.5,1.5,2.5,
86,48,BON-PSTRING-011,Compatible with  Honda GX140,64,1.5,1.5,2.5,
87,48,BON-PSTRING-012,Compatible with  Honda GX160,68,1.5,1.5,2.5,
88,48,BON-PSTRING-013,Compatible with  Honda GX200,68,1.5,1.5,2.5,
89,48,BON-PSTRING-014,Compatible with  Honda GX210,70,1.5,1.5,2.5,
90,48,BON-PSTRING-015,Compatible with  Honda GX220,70,1.5,1.5,2.5,
91,48,BON-PSTRING-016,Compatible with  Honda GX240,73,2,2,2.8,
92,48,BON-PSTRING-017,Compatible with  Honda GX270,77,2,2,2.8,
93,48,BON-PSTRING-018,Compatible with  Honda GX340,82,2,2,2.8,
94,48,BON-PSTRING-019,Compatible with  Honda GX390,88,2,2,2.8,
95,48,BON-PSTRING-020,Compatible with  Honda GX100,52,1.5,1.5,2.5,
96,48,BON-PSTRING-021,Compatible with  Honda GX400,90,2,2,2.8,
97,48,BON-PSTRING-022,Compatible with  Honda GX420,90,2,2,2.8,
98,48,BON-PSTRING-023,"Compatible with  TU26 (Chinese Sprayer, Chinese Brushcutter)",33,1.5,1.5,,
99,48,BON-PSTRING-024,Compatible with  HUSQ 232R,35,1.5,,,
100,48,BON-PSTRING-025,Compatible with  HUSQ 235,37,1.5,,,
101,48,BON-PSTRING-026,Compatible with  HUSQ 141,40,1.5,,,
102,48,BON-PSTRING-027,"Compatible with  HUSQ 40, 240R",40,1.5,,,
103,48,BON-PSTRING-028,Compatible with  HUSQ 340,40,1.5,,,
104,48,BON-PSTRING-029,"Compatible with  HUSQ 2137, 2550",41,1.5,,,
105,48,BON-PSTRING-030,"Compatible with  HUSQ H445, 2245",42,1.5,,,
106,48,BON-PSTRING-031,"Compatible with  HUSQ 343R, 345, 2145",42,1.5,,,
107,48,BON-PSTRING-032,Compatible with  HUSQ 350P,44,1.5,,,
108,48,BON-PSTRING-033,Compatible with  HUSQ 353,45,1.5,,,
109,48,BON-PSTRING-034,Compatible with  HUSQ 55,46,1.5,,,
110,48,BON-PSTRING-035,Compatible with  HUSQ 359,47,1.5,,,
111,48,BON-PSTRING-036,Compatible with  HUSQ 365,48,1.5,,,
112,48,BON-PSTRING-037,Compatible with  HUSQ 268 (NEW),50,1.5,,,
113,48,BON-PSTRING-038,Compatible with  HUSQ 272P,52,1.5,,,
114,48,BON-PSTRING-039,Compatible with  HUSQ 385,54,1.2,1.2,,
115,48,BON-PSTRING-040,Compatible with  HUSQVARNA 461,49,1.5,,,
116,48,BON-PSTRING-041,Compatible with  STIHL MS170,37,1.2,1.2,,
117,48,BON-PSTRING-042,Compatible with  STIHL MS180,38,1.2,1.2,,
118,48,BON-PSTRING-043,Compatible with  STIHL MS230,40,1.2,1.2,,
119,48,BON-PSTRING-044,Compatible with  STIHL MSO25,42,1.2,1.2,,
120,48,BON-PSTRING-045,Compatible with  STIHL MS250,425,1.2,1.2,,
121,48,BON-PSTRING-046,"Compatible with  STIHL FR480,FS480",44,1.2,1.2,,
122,48,BON-PSTRING-047,Compatible with  STIHL MS034-340,46,1.2,1.2,,
123,48,BON-PSTRING-048,"Compatible with  STIHL MS290, SR400",46,1.5,1.5,,
124,48,BON-PSTRING-049,Compatible with  STIHL MS361,47,1.5,1.5,,
125,48,BON-PSTRING-050,Compatible with  STIHL MS360 48,48,1.2,1.2,,
126,48,BON-PSTRING-051,Compatible with  STIHL MS390,49,1.5,1.5,,
127,48,BON-PSTRING-052,Compatible with  STIHL MS460,52,1.2,1.2,,
128,48,BON-PSTRING-054,Compatible with  STIHL 070,58,1.5,1.5,,
129,48,BON-PSTRING-057,Compatible with  GX35,39,1,1,2,
130,48,BON-PSTRING-058,Compatible with  OLEOMAC 753,45,1.5,1.5,,
131,48,BON-PSTRING-063,Compatible with  VTPH145/HUS 61,48,1.5,,,
132,48,BON-PSTRING-066,Compatible with  OLEOMAC 947,42,1.5,1.5,,
133,48,BON-PSTRING-067,"Compatible with  5200 (Chinese
Chainsaw 52 CC)",45,1.2,1.2,,
134,48,BON-PSTRING-071,"Compatible with  VP703/OLEO-MAC 937,GS370,936",38,1.5,1.5,,
135,48,BON-PSTRING-072,"Compatible with  VP704/OLEO-MAC GS35, GS35C",38,1.5,,,
136,48,BON-PSTRING-073,Compatible with  VP706/OLEO-MAC GS440,40,1.5,1.5,,
137,48,BON-PSTRING-074,"Compatible with  VP708/OLEO-MAC AM180, MB80",42,1.5,1.5,,
